date,open,high,low,close,volume,ma_7,ma_30,volatility,lag_1,lag_7,return
2023-07-14,31454.23,31630.0,29900.0,30312.01,60749.48424,30517.89285714286,29698.772333333334,436.32638176460756,31454.23,30344.7,-0.036313716787853334
2023-07-15,30312.0,30390.9,30200.0,30289.52,14118.55329,30518.591428571428,29855.14,435.89437823965665,30312.01,30284.63,-0.0007419501379155591
2023-07-16,30289.52,30441.46,30064.29,30231.99,15760.1281,30528.774285714284,29984.706333333335,426.8799366276451,30289.52,30160.71,-0.0018993368003190625
2023-07-17,30232.0,30336.96,29659.2,30138.0,30882.76839,30489.692857142854,30105.40666666667,451.22704431781847,30231.99,30411.57,-0.0031089584245033164
2023-07-18,30138.01,30239.78,29512.0,29859.13,30003.8601,30380.697142857145,30222.712000000003,503.08257744012235,30138.0,30622.1,-0.009253102395646695
2023-07-19,29859.14,30189.09,29761.96,29909.21,25657.36137,30313.441428571434,30324.874,533.7272712546564,29859.13,30380.0,0.0016772089474810237
2023-07-20,29909.21,30417.46,29570.96,29800.0,37540.68193,30077.122857142855,30374.607666666667,216.2124980749403,29909.21,31454.23,-0.003651383637347849
2023-07-21,29800.0,30061.7,29726.34,29901.72,23881.40865,30018.510000000002,30371.53533333333,196.6523960359113,29800.0,30312.01,0.003413422818792089
2023-07-22,29901.72,29999.0,29625.1,29794.0,14660.40467,29947.721428571425,30368.504666666668,170.25185083953124,29901.72,30289.52,-0.0036024683529910506
2023-07-23,29793.99,30350.0,29730.0,30083.75,18292.78637,29926.544285714284,30348.346333333335,134.45569789056466,29794.0,30231.99,0.009725112438746075
2023-07-24,30083.75,30099.58,28861.9,29176.5,39628.99691,29789.187142857143,30303.315333333332,287.01162193160917,30083.75,30138.0,-0.03015747704325422
2023-07-25,29176.5,29376.0,29047.65,29228.91,21565.7478,29699.155714285713,30262.190333333336,352.73523908909834,29176.5,29859.13,0.001796308673075897
2023-07-26,29228.91,29690.0,29096.94,29351.96,33931.63366,29619.548571428575,30231.656,360.22998997995666,29228.91,29909.21,0.0042098730332400525
2023-07-27,29351.95,29567.49,29083.85,29222.78,22476.47626,29537.088571428576,30182.667333333335,377.68127967149144,29351.96,29800.0,-0.004401068957575638
2023-07-28,29222.78,29542.22,29123.12,29314.14,23993.61627,29453.148571428574,30157.225,347.2000901703476,29222.78,29901.72,0.003126328159059444
2023-07-29,29314.14,29406.92,29256.18,29352.9,10851.36844,29390.13428571428,30120.74466666667,313.41184139815954,29314.14,29794.0,0.0013222287947045608
2023-07-30,29352.9,29449.0,29033.24,29281.09,15706.97441,29275.468571428577,30081.04766666667,68.44974906920028,29352.9,30083.75,-0.0024464362976061027
2023-07-31,29281.09,29530.0,29101.8,29232.25,22605.48964,29283.43285714286,30035.926,57.36036195690078,29281.09,29176.5,-0.0016679706937139382
2023-08-01,29232.26,29739.25,28585.7,29705.99,44719.65162,29351.587142857144,30005.558,164.72604385410435,29232.25,29228.91,0.01620607377126304
2023-08-02,29705.99,30047.5,28927.5,29186.01,48181.65141,29327.879999999997,29939.885000000002,176.20512100016398,29705.99,29351.96,-0.01750421379661149
2023-08-03,29186.0,29433.33,28968.0,29193.64,26476.91994,29323.717142857142,29887.456000000002,179.41689345532322,29186.01,29222.78,0.00026142662186434684
2023-08-04,29193.65,29333.08,28807.54,29113.99,23551.95217,29295.124285714286,29841.095333333335,196.34723594163935,29193.64,29314.14,-0.002728333979592712
2023-08-05,29114.0,29152.23,28978.64,29072.13,11645.52018,29255.014285714286,29813.652000000002,210.72895544258597,29113.99,29352.9,-0.0014377967430778682
2023-08-06,29072.13,29205.09,28991.88,29088.42,13178.1972,29227.49,29771.775999999998,219.16917552434188,29072.13,29281.09,0.0005603304608226001
2023-08-07,29088.43,29276.78,28701.03,29211.06,30966.87746,29224.462857142855,29735.99033333333,219.23879946418262,29088.42,29232.25,0.004216110740975276
2023-08-08,29211.06,30244.0,29146.45,29770.42,45700.53392,29233.66714285714,29722.980666666666,242.89973498783806,29211.06,29705.99,0.019148911405474367
